client,id,vendor_id,vendor_name,context_id,context_name,name,status,compliance_status,compliance_profile,compliance_tracking,cert_status,cert_expiration,cert_issue_date,cert_reviewed_at,cert_url,cert_processing,cert_flagged,cert_flag_level,cert_flag_notes,cert_applies_to_all,updated_at,sync_date
QTS Data Centers,6a15b733bd30da3db41030dc,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4ef,"SLC1DC2 - QTS Eagle Mountain 1, LLC",Insurance Request,active,non_compliant,Standard 14 with Cyber Liability,true,,,,,,,false,,,,2026-09-08,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030dd,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",69f10c28beb6279e947be4f0,"SLC1DC3 - QTS Eagle Mountain 1, LLC",Insurance Request,active,non_compliant,Standard 14 with Cyber Liability,true,,,,,,,false,,,,2026-09-08,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030de,69f0f3c4beb6279e947be0da,"Clayco, Inc.",69f10c28beb6279e947be4e2,"ATL2DC9 - QTS Fayetteville II, DC9-10, LLC",Insurance Request,active,compliant,Standard 15,true,,,,,,,false,,,,2026-09-08,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030df,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4d2,"ATL2DC10 - QTS Fayetteville II, DC9-10, LLC",Insurance Request,active,non_compliant,Standard 16,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e0,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4d9,"ATL2DC5 - QTS Fayetteville II DC5, LLC",Insurance Request,active,non_compliant,Standard 17,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e7,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69f10c28beb6279e947be4e8,"ASH2DC2 - QTS Lockridge DC2, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030f2,69f0f3c5beb6279e947be0fd,M. A. Mortenson Company,69f10c28beb6279e947be4d7,"CHI1DC1 - QTS Chicago I DC1, LLC",Insurance Request,active,non_compliant,Standard 9,true,,,,,,,false,,,,2026-09-08,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030c8,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f10c28beb6279e947be4cb,"DFW1DC6 - QTS Irving DC6, LLC",Insurance Request,archived,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a7ca744f08d6e4a3cf1fbe3,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f10c28beb6279e947be4cb,"DFW1DC6 - QTS Irving DC6, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6aa1a70d0bd3fb2792eddf53,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,69f10c28beb6279e947be4ea,"ATL2DC3 - QTS Fayetteville I DC3, LLC",Insurance Request,active,non_compliant,Standard 14 with Drone Liability,true,,,,,,,false,,,,2026-09-11,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e1,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",6a071cf97ee88c9e3617f343,"CDR1DC4 - QTS Cedar Rapids I DC4, LLC",Insurance Request,active,non_compliant,Standard 3 with Drone Liability,true,,,,,,,false,,,,2026-09-10,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030ce,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,69f10c28beb6279e947be4df,"DEN1DC1 - QTS Aurora, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030d0,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,6a15ab87c2b6428acbd44c69,DEN1DC3 -,Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030e3,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,69f10c28beb6279e947be4e0,"NAL1DC1 - QTS New Albany I DC1, LLC",Insurance Request,active,non_compliant,Standard 4,true,,,,,,,false,,,,2026-08-06,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030ea,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",6a071a1ab333109abbeb3dab,"RIC1DC6 - QTS Richmond I DC6, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030f4,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",6a15ab19fd91891a7796b9d0,SLC1DC4 -,Insurance Request,active,non_compliant,Standard 1,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a206b67783fbe1102011c86,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",6a071a68b7c7740fe9c2f2e2,"RIC2DC3 - QTS Richmond II DC3, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a2ac7976be658d63abb4b6d,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",6a1891dbb517ae25a8862c83,CDR1DC5,Insurance Request,active,non_compliant,Standard 3 with Drone Liability,true,,,,,,,false,,,,2026-09-10,2026-09-22
QTS Data Centers,6a2ac7c56be658d63abb4c13,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",6a1891e9da80b4370421136a,CDR1DC6,Insurance Request,active,non_compliant,Standard 14,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a2ac7e97bfda7c6ee2ad6d5,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",6a189203462ef1e78eae99d3,CDR1DC7,Insurance Request,active,non_compliant,Standard 18 with Drone Liability,true,,,,,,,false,,,,2026-09-10,2026-09-22
QTS Data Centers,6a4eb2f059ee21f6a806fa01,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,6a4eb23eef155a091f52b23d,"ATL2DC4 - QTS Fayetteville I DC4, LLC",Insurance Request,active,non_compliant,Standard 14,true,,,,,,,false,,,,2026-09-18,2026-09-22
QTS Data Centers,6a7ca6d0f08d6e4a3cf1fae0,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",6a552d3a323f725a17ff1371,"ATL2DC6 - QTS Fayetteville II DC6, LLC",Insurance Request,active,non_compliant,Lender 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030c7,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f10c28beb6279e947be4ca,"DFW1DC5 - QTS Irving DC5, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030c9,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,69f10c28beb6279e947be4cc,"DFW2DC3 - QTS Dallas I DC3, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 25M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a7ca620f08d6e4a3cf1fa04,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",69fc9b6f2c4b2730d63db1d4,"RIC2DC5 - QTS Richmond II DC5, LLC",Insurance Request,active,non_compliant,Standard 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a7ca6e3f08d6e4a3cf1fb34,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",6a552da583bb3f301e9fb881,"ATL2DC7 - QTS Fayetteville II DC7, LLC",Insurance Request,active,non_compliant,Lender 7,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a7ca724121e6d2c7dfac157,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",69fc9b6f2c4b2730d63db1d5,"DFW2DC1 - QTS Dallas I DC1, LLC",Insurance Request,active,non_compliant,Standard 3 with Drone Liability,true,,,,,,,false,,,,2026-09-10,2026-09-22
QTS Data Centers,6a7ca816f08d6e4a3cf201de,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",6a18927fe701796d85e5de5c,DFW2DC5,Insurance Request,active,non_compliant,Standard 14,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a860f36216b7a3dcfb429ef,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,6a15ab64f954928d4d5237e3,"CLT1DC4 - QTS York I, LLC",Insurance Request,active,non_compliant,Standard 10 - UMB 50M,true,,,,,,,false,,,,2026-09-04,2026-09-22
QTS Data Centers,6a15b733bd30da3db41030c6,69f0f3c4beb6279e947be0e4,Gilbane Building Company,69f10c28beb6279e947be4d6,"CLT1DC1 - QTS York I, LLC",Insurance Request,active,compliant,Standard 1 with Drone Liability,true,,,,,,,false,,,,2026-09-09,2026-09-22
QTS Data Centers,6a860e47c0b10f7f314c3907,69f0f3c4beb6279e947be0e4,Gilbane Building Company,6a860db0b0cf157260831580,"CLT1DC3 -   QTS York I, LLC",Insurance Request,active,compliant,Standard 1 with Drone Liability,true,,,,,,,false,,,,2026-09-09,2026-09-22
