client,id,name,context_object,status,description,start_date,end_date,archived_at,external_codes,created_at,updated_at,sync_date
"Block Real Estate Services, LLC",69fdf03902bb2c42a87a13b8,"hig143 - High Tech Associates (Pine Ridge Building 20) {High Tech Associates, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf03c3b208288e0a7d188,"int072 - Interstate Building II, LLC",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf03f03a2257cd27de04f,"kc2700 - Switzer I {Barry 1, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf04202bb2c42a87a15aa,"kc2701 - Switzer II {Barry 2, LLC}",Project,active,,,,,,2026-05-08,2026-06-08,2026-06-11
"Block Real Estate Services, LLC",69fdf0473b208288e0a7d535,"kc2702 - Switzer III {Barry 3, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf04d03a2257cd27de3b8,"kc2703 - Brookhollow I {Flint 1, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf05002bb2c42a87a1859,"kc2704 - Westbrook IV {Brian 4, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0533b208288e0a7d827,"kci281 - Platte Valley Industrial Center 1 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf05638cbea6b3a68f4ea,"kci282 - Platte Valley Industrial Center 2 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0590bb484cab513c4cc,"kci283 - Platte Valley Industrial Center 3 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf05e0e86e2f8723db3e7,"kci284 - Platte Valley Industrial Center 4 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-02,2026-06-11
"Block Real Estate Services, LLC",69fdf061bf1df2fe969263d0,"kci286 - Platte Valley Industrial Center 6 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf064e45e7dcf5c4375c2,"kci287 - Platte Valley Industrial Center 7 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf067fa0b60fcd50d99bf,"kci288 - Platte Valley Industrial Center 8 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf06abf1df2fe96926664,"kci289 - Platte Valley Industrial Center 9 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf06de45e7dcf5c4377cd,"kci290 - Platte Valley Industrial Center 10 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf07103a2257cd27deaeb,"kci291 - Platte Valley Industrial Center 11 {Platte Valley Investment, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf07502bb2c42a87a2174,"kci862 - Riverside Distribution Center 2 {Riverside Distribution Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf07f0e86e2f8723dbc32,"kci863 - Riverside Distribution Center 3 {Riverside Distribution Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-02,2026-06-11
"Block Real Estate Services, LLC",69fdf08238cbea6b3a6909f0,"kci864 - Riverside Distribution Center 4 {Riverside Distribution Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0850bb484cab513cb76,"kci865 - Riverside Distribution Center 5 {Riverside Distribution Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0870e86e2f8723dbdc2,"kci891 - Riverside Industrial Center 1 {Riverside Industrial Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf08a38cbea6b3a6914e6,"kci892 - Riverside Industrial Center 2 {Riverside Industrial Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf08d0bb484cab513cc63,"kci893 - Riverside Industrial Center 3 {Riverside Industrial Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf090fa0b60fcd50da1ff,"kci894 - Riverside Industrial Center 4 {Riverside Industrial Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf09302bb2c42a87a27e2,"kci895 - Riverside Industrial Center 5 {Riverside Industrial Center Investment, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf09d38cbea6b3a6917a7,"lcs458 - Lenexa Logistics Centre South Building 8 {LLCS Building 8 Investors, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0a00bb484cab513cf51,"lle449 - Lenexa Logistics Centre East Building 4 {NB Lenexa East 4, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0a3e45e7dcf5c438149,"lne435 - Lenexa Logistics Centre North Building 5 {LLCN 5, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0a60bb484cab513d2da,"mil708 - Mill Street Station {Mill Street Station, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0aa38cbea6b3a691e24,"mel786 - Village West Park/I-70 Speedway {Melville, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0ad0bb484cab513d40c,"ncd054 - North Cass Shopping Center {North Cass Development, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0b038cbea6b3a691f37,"nor453 - Northridge - Clarinda {Northridge-Clarinda, LLC}",Project,active,,,,,,2026-05-08,2026-06-03,2026-06-11
"Block Real Estate Services, LLC",69fdf0b50bb484cab513d68a,"nor454 - Northridge - Enterprise, LLC",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf0b9bf1df2fe9692782f,"pas771 - Paseo Industrial - 1307 Vernon {Paseo Industrial, LLC}",Project,active,,,,,,2026-05-08,2026-06-10,2026-06-11
"Block Real Estate Services, LLC",69fdf0bc3b208288e0a7f1c2,"pas772 - Paseo Industrial - 1600 Vernon {Paseo Industrial, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0c1bf1df2fe969278eb,"pas773 - Paseo Industrial - 1800 Vernon {Paseo Industrial, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0c43b208288e0a7f2ab,"pas774 - Paseo Industrial - 1201 Saline {Paseo Industrial, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0c802bb2c42a87a35a2,"pla047 - 4700 Summer Investors, LLC / Planet Fitness",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf0cbe45e7dcf5c438bc3,"pma106 - 5055 Antioch {Pine Meadows Associates, LLC}",Project,active,,,,,,2026-05-08,2026-05-28,2026-06-11
"Block Real Estate Services, LLC",69fdf0cf3b208288e0a7f650,"prg801 - Pine Ridge Building A {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-05,2026-06-11
"Block Real Estate Services, LLC",69fdf0d2e45e7dcf5c438d24,"prg802 - Pine Ridge Building B {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0d602bb2c42a87a37d2,"prg803 - Pine Ridge Building C {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0d9e45e7dcf5c438e0a,"prg804 - Pine Ridge Building D {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0dc02bb2c42a87a39b3,"prg805 - Pine Ridge Building E-1 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0e0e45e7dcf5c43916b,"prg806 - Pine Ridge Building E-2 {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0e502bb2c42a87a3d50,"prg807 - Pine Ridge Building F {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0e8e45e7dcf5c43943f,"prg808 - Pine Ridge Building G {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0eb0bb484cab513e3dd,"prg811 - Pine Ridge Building K {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
"Block Real Estate Services, LLC",69fdf0ef38cbea6b3a692ebb,"prg812 - Pine Ridge Building L {PERG BUILDINGS, LLC}",Project,active,,,,,,2026-05-08,2026-06-11,2026-06-11
